"AveragePrice";"Total Volume"
0.8;2326942.14
0.85;2149872.45
0.74;2690296.07
0.66;3048290.53
0.83;2156008.93
0.81;2268076.38
0.74;2828361.9
0.84;2621078.31
0.89;2617806.65
0.95;2327634.45
0.89;2661345.12
0.92;2591981.76
0.98;2278629.09
0.9;2674658.54
0.99;2392448.9
0.98;2549512.5
0.92;2983163.34
0.9;3037663.98
1.03;2604991.25
0.93;2943218.77
0.94;3371114.14
1.0;2742211.46
0.95;2893887.74
1.02;2614726.11
1.03;2652480.7
0.96;3435374.51
0.94;2921148.91
0.91;3040023.34
0.79;3689140.93
0.84;3261844.41
0.85;3196936.02
0.97;2853904.6
0.98;2557700.83
0.78;3553642.53
0.78;4015563.02
1.02;2355703.98
0.93;2901188.07
0.93;2799667.4
1.01;2603114.56
1.0;2566690.28
1.01;2466735.33
0.94;2690257.2
0.86;2797745.89
0.75;3094278.93
0.83;2954705.54
0.83;2926435.94
0.9;2641032.65
0.74;4031949.04
0.96;2329987.29
0.89;2800679.5
0.85;2713699.6
0.85;2682159.95
0.84;2641775.31
0.84;2377799.62
0.75;2793917.73
0.78;2780629.1
1.01;2257271.18
1.1;2272023.15
1.29;1913492.61
1.52;1595013.07
1.48;1499286.88
1.23;2133563.24
1.17;2548687.86
1.16;2766529.12
1.06;2865744.94
1.0;3007073.27
1.06;2589309.14
0.95;2939704.87
0.88;3431676.04
0.81;3563268.97
0.93;3086167.04
1.03;2879218.13
1.0;3094362.21
1.06;2826836.07
1.01;3033328.67
0.97;3092234.0
0.93;3293224.51
0.95;3449361.49
0.85;3258184.45
0.9;3237847.21
0.83;3248769.26
0.76;3715458.49
0.83;3203935.53
0.76;3134305.39
0.82;2866855.58
0.64;3942054.31
0.62;3863314.25
0.75;3136882.52
0.76;3185230.67
0.77;3288356.88
0.82;2793982.31
0.73;3467762.25
0.74;3374876.94
0.79;2987393.94
0.76;3138836.66
0.72;3332578.34
0.76;3232888.65
0.65;3664088.6
0.58;4982700.11
0.74;3197788.06
0.76;3173509.36
0.76;2952576.85
0.74;3172437.94
0.64;3967109.33
0.88;3212261.75
1.1;2389829.32
0.89;3130916.47
1.07;2404221.58
1.01;2615853.0
1.19;2153918.0
1.14;2391383.0
1.08;2626121.0
1.04;2691240.89
1.09;2850377.2
1.49;1968638.86
1.67;1779831.36
1.8;1711267.24
1.77;1697028.59
1.75;1760610.46
1.73;1865690.48
1.74;1969051.97
1.61;2176974.29
1.66;2117126.8
1.45;2309865.74
1.19;2832849.85
1.22;2742628.31
1.39;2426027.85
1.38;2484918.32
1.37;2558156.26
1.12;3382974.98
1.07;3507155.74
0.92;3655667.22
0.99;3631321.55
0.99;3390850.94
0.96;3637220.72
1.13;3243908.89
1.14;2921916.66
0.94;3551402.91
0.87;4214313.1
0.99;3299258.02
1.04;3074226.19
1.18;2789630.4
1.01;2993246.61
0.98;3100355.01
1.12;2583323.58
1.11;2737872.14
1.12;2633574.94
0.99;2768930.88
0.82;2935077.5
0.79;3033918.41
0.64;3625630.64
0.53;5470227.08
0.6;4230448.98
0.62;4215552.57
0.76;3363407.98
0.89;3120961.67
0.84;3551337.17
1.02;2843541.07
0.91;3395262.7
1.03;3059034.3
1.1;2667104.06
1.0;3029956.79
1.08;2749718.75
0.85;3323882.38
0.73;5070580.56
1.08;2893717.97
1.15;2653023.23
1.28;2409159.6
1.04;2725856.44
